config_name,dataset,category,prompt_idx,wall_s,out_tokens,tok_per_s
llama32_baseline,mt_bench,writing,3,0.7663,357,465.88
llama32_baseline,mt_bench,writing,4,0.5967,277,464.20
llama32_baseline,mt_bench,writing,5,0.5436,252,463.62
llama32_baseline,mt_bench,writing,6,1.0980,512,466.31
llama32_baseline,mt_bench,writing,7,0.5412,250,461.92
llama32_baseline,mt_bench,writing,8,0.6496,302,464.91
llama32_baseline,mt_bench,writing,9,0.4722,218,461.72
llama32_baseline,mt_bench,roleplay,10,1.0958,512,467.23
llama32_baseline,mt_bench,roleplay,11,0.3226,148,458.82
llama32_baseline,mt_bench,roleplay,12,1.0961,512,467.10
llama32_baseline,mt_bench,roleplay,13,0.4043,186,460.03
llama32_baseline,mt_bench,roleplay,14,0.5314,246,462.93
llama32_baseline,mt_bench,roleplay,15,0.9342,434,464.56
llama32_baseline,mt_bench,roleplay,16,1.0968,512,466.82
llama32_baseline,mt_bench,roleplay,17,0.3609,166,459.97
llama32_baseline,mt_bench,roleplay,18,0.3285,151,459.72
llama32_baseline,mt_bench,roleplay,19,1.0928,512,468.53
llama32_baseline,mt_bench,reasoning,20,0.2798,129,461.05
llama32_baseline,mt_bench,reasoning,21,0.3798,176,463.46
llama32_baseline,mt_bench,reasoning,22,0.8407,393,467.48
llama32_baseline,mt_bench,reasoning,23,0.2819,130,461.10
llama32_baseline,mt_bench,reasoning,24,0.4941,229,463.43
llama32_baseline,mt_bench,reasoning,25,0.3183,147,461.88
llama32_baseline,mt_bench,reasoning,26,0.2944,136,462.03
llama32_baseline,mt_bench,reasoning,27,0.3072,141,458.99
llama32_baseline,mt_bench,reasoning,28,0.2927,134,457.80
llama32_baseline,mt_bench,reasoning,29,0.4240,195,459.91
llama32_baseline,mt_bench,math,30,0.3994,184,460.69
llama32_baseline,mt_bench,math,31,0.3081,141,457.68
llama32_baseline,mt_bench,math,32,0.7021,326,464.31
llama32_baseline,mt_bench,math,33,0.3608,166,460.06
llama32_baseline,mt_bench,math,34,0.3737,172,460.24
llama32_baseline,mt_bench,math,35,0.6712,312,464.81
llama32_baseline,mt_bench,math,36,0.4307,199,462.05
llama32_baseline,mt_bench,math,37,0.4968,230,462.96
llama32_baseline,mt_bench,math,38,0.2913,133,456.60
llama32_baseline,mt_bench,math,39,0.3760,173,460.16
llama32_baseline,mt_bench,coding,40,1.0964,512,466.97
llama32_baseline,mt_bench,coding,41,0.8248,384,465.59
llama32_baseline,mt_bench,coding,42,0.9974,465,466.22
llama32_baseline,mt_bench,coding,43,1.0977,512,466.41
llama32_baseline,mt_bench,coding,44,1.0960,512,467.13
llama32_baseline,mt_bench,coding,45,1.0961,512,467.10
llama32_baseline,mt_bench,coding,46,0.9945,464,466.55
llama32_baseline,mt_bench,coding,47,1.0305,481,466.77
llama32_baseline,mt_bench,coding,48,1.0626,496,466.79
llama32_baseline,mt_bench,coding,49,1.0972,512,466.63
llama32_baseline,mt_bench,extraction,50,0.5480,253,461.64
llama32_baseline,mt_bench,extraction,51,0.6878,319,463.78
llama32_baseline,mt_bench,extraction,52,0.3172,142,447.72
llama32_baseline,mt_bench,extraction,53,0.3961,182,459.49
llama32_baseline,mt_bench,extraction,54,0.4026,184,457.03
llama32_baseline,mt_bench,extraction,55,0.3096,140,452.21
llama32_baseline,mt_bench,extraction,56,0.6383,295,462.15
llama32_baseline,mt_bench,extraction,57,0.3745,171,456.64
llama32_baseline,mt_bench,extraction,58,0.6367,295,463.29
llama32_baseline,mt_bench,extraction,59,1.0979,512,466.34
llama32_baseline,mt_bench,stem,60,1.1001,512,465.43
llama32_baseline,mt_bench,stem,61,0.7276,338,464.53
llama32_baseline,mt_bench,stem,62,1.0947,512,467.69
llama32_baseline,mt_bench,stem,63,0.8541,399,467.15
llama32_baseline,mt_bench,stem,64,0.7255,338,465.89
llama32_baseline,mt_bench,stem,65,1.0947,512,467.73
llama32_baseline,mt_bench,stem,66,1.0951,512,467.55
llama32_baseline,mt_bench,stem,67,1.0941,512,467.96
llama32_baseline,mt_bench,stem,68,1.0945,512,467.80
llama32_baseline,mt_bench,stem,69,1.0163,474,466.39
llama32_baseline,mt_bench,humanities,70,1.0962,512,467.08
llama32_baseline,mt_bench,humanities,71,1.0963,512,467.01
llama32_baseline,mt_bench,humanities,72,1.0963,512,467.03
llama32_baseline,mt_bench,humanities,73,1.0949,512,467.61
llama32_baseline,mt_bench,humanities,74,1.0939,512,468.05
llama32_baseline,mt_bench,humanities,75,1.0941,512,467.95
llama32_baseline,mt_bench,humanities,76,0.9843,460,467.33
llama32_baseline,mt_bench,humanities,77,0.9793,458,467.68
llama32_baseline,mt_bench,humanities,78,1.0943,512,467.88
llama32_baseline,mt_bench,humanities,79,1.0941,512,467.98
