config_name,dataset,category,prompt_idx,wall_s,out_tokens,tok_per_s
llama32_eagle3,mt_bench,writing,3,0.9128,334,365.92
llama32_eagle3,mt_bench,writing,4,0.7054,263,372.86
llama32_eagle3,mt_bench,writing,5,0.8102,294,362.86
llama32_eagle3,mt_bench,writing,6,1.3704,512,373.62
llama32_eagle3,mt_bench,writing,7,0.5634,190,337.22
llama32_eagle3,mt_bench,writing,8,0.8880,290,326.56
llama32_eagle3,mt_bench,writing,9,0.6159,213,345.83
llama32_eagle3,mt_bench,roleplay,10,1.4966,512,342.10
llama32_eagle3,mt_bench,roleplay,11,0.5233,165,315.30
llama32_eagle3,mt_bench,roleplay,12,1.5968,512,320.64
llama32_eagle3,mt_bench,roleplay,13,0.5311,186,350.21
llama32_eagle3,mt_bench,roleplay,14,0.6450,227,351.96
llama32_eagle3,mt_bench,roleplay,15,1.4065,512,364.02
llama32_eagle3,mt_bench,roleplay,16,1.4081,512,363.61
llama32_eagle3,mt_bench,roleplay,17,0.6049,218,360.39
llama32_eagle3,mt_bench,roleplay,18,0.3699,129,348.73
llama32_eagle3,mt_bench,roleplay,19,1.3791,512,371.26
llama32_eagle3,mt_bench,reasoning,20,0.3641,129,354.25
llama32_eagle3,mt_bench,reasoning,21,0.4911,176,358.41
llama32_eagle3,mt_bench,reasoning,22,1.1020,398,361.16
llama32_eagle3,mt_bench,reasoning,23,0.3785,139,367.23
llama32_eagle3,mt_bench,reasoning,24,0.6654,240,360.71
llama32_eagle3,mt_bench,reasoning,25,0.4203,147,349.71
llama32_eagle3,mt_bench,reasoning,26,0.3650,136,372.62
llama32_eagle3,mt_bench,reasoning,27,0.4007,142,354.34
llama32_eagle3,mt_bench,reasoning,28,0.5013,186,371.01
llama32_eagle3,mt_bench,reasoning,29,0.3419,129,377.26
llama32_eagle3,mt_bench,math,30,0.4957,184,371.18
llama32_eagle3,mt_bench,math,31,0.4061,145,357.04
llama32_eagle3,mt_bench,math,32,0.9084,326,358.87
llama32_eagle3,mt_bench,math,33,0.4550,166,364.80
llama32_eagle3,mt_bench,math,34,0.4522,172,380.36
llama32_eagle3,mt_bench,math,35,0.9589,312,325.37
llama32_eagle3,mt_bench,math,36,0.5487,199,362.70
llama32_eagle3,mt_bench,math,37,0.3607,130,360.39
llama32_eagle3,mt_bench,math,38,0.3698,133,359.67
llama32_eagle3,mt_bench,math,39,0.4860,173,355.94
llama32_eagle3,mt_bench,coding,40,1.4769,512,346.67
llama32_eagle3,mt_bench,coding,41,0.9522,384,403.27
llama32_eagle3,mt_bench,coding,42,1.5180,479,315.55
llama32_eagle3,mt_bench,coding,43,2.0297,512,252.26
llama32_eagle3,mt_bench,coding,44,2.3488,512,217.98
llama32_eagle3,mt_bench,coding,45,2.2303,512,229.57
llama32_eagle3,mt_bench,coding,46,1.9944,512,256.71
llama32_eagle3,mt_bench,coding,47,2.1016,512,243.63
llama32_eagle3,mt_bench,coding,48,2.0370,502,246.44
llama32_eagle3,mt_bench,coding,49,1.5588,387,248.26
llama32_eagle3,mt_bench,extraction,50,1.1868,253,213.19
llama32_eagle3,mt_bench,extraction,51,1.0015,244,243.64
llama32_eagle3,mt_bench,extraction,52,0.6626,142,214.31
llama32_eagle3,mt_bench,extraction,53,0.8271,182,220.04
llama32_eagle3,mt_bench,extraction,54,0.7839,174,221.98
llama32_eagle3,mt_bench,extraction,55,0.5831,147,252.09
llama32_eagle3,mt_bench,extraction,56,1.3691,295,215.47
llama32_eagle3,mt_bench,extraction,57,0.5574,128,229.65
llama32_eagle3,mt_bench,extraction,58,2.0263,443,218.62
llama32_eagle3,mt_bench,extraction,59,2.3538,512,217.52
llama32_eagle3,mt_bench,stem,60,2.0985,512,243.98
llama32_eagle3,mt_bench,stem,61,1.3191,315,238.81
llama32_eagle3,mt_bench,stem,62,2.5534,512,200.52
llama32_eagle3,mt_bench,stem,63,1.8536,399,215.25
llama32_eagle3,mt_bench,stem,64,1.6110,369,229.05
llama32_eagle3,mt_bench,stem,65,2.2437,512,228.20
llama32_eagle3,mt_bench,stem,66,2.1949,512,233.26
llama32_eagle3,mt_bench,stem,67,2.2344,512,229.15
llama32_eagle3,mt_bench,stem,68,2.1598,512,237.06
llama32_eagle3,mt_bench,stem,69,1.5333,388,253.04
llama32_eagle3,mt_bench,humanities,70,2.1937,512,233.39
llama32_eagle3,mt_bench,humanities,71,1.8654,512,274.46
llama32_eagle3,mt_bench,humanities,72,2.5625,512,199.80
llama32_eagle3,mt_bench,humanities,73,2.3267,512,220.06
llama32_eagle3,mt_bench,humanities,74,2.3227,512,220.43
llama32_eagle3,mt_bench,humanities,75,2.1362,512,239.68
llama32_eagle3,mt_bench,humanities,76,1.9832,470,236.99
llama32_eagle3,mt_bench,humanities,77,2.3572,512,217.21
llama32_eagle3,mt_bench,humanities,78,2.4355,512,210.22
llama32_eagle3,mt_bench,humanities,79,1.9675,512,260.23
