config_name,dataset,category,prompt_idx,wall_s,out_tokens,tok_per_s
avibe_ngram,ru_arena_hard,Binance USDT Historical Data,3,3.4378,512,148.93
avibe_ngram,ru_arena_hard,Prompt Engineering Essentials,4,3.3838,512,151.31
avibe_ngram,ru_arena_hard,Python Looping and Counting,5,3.4472,371,107.62
avibe_ngram,ru_arena_hard,Grocery Industry Disruption,6,5.3178,512,96.28
avibe_ngram,ru_arena_hard,Conflicting Instructions Challenge,7,4.6740,512,109.54
avibe_ngram,ru_arena_hard,"Bob, Alice, Relationships & Interactions",8,4.4946,512,113.91
avibe_ngram,ru_arena_hard,Local LLM Deployment & Specs,9,5.0218,512,101.96
avibe_ngram,ru_arena_hard,Computing Standard Deviation,10,5.1354,512,99.70
avibe_ngram,ru_arena_hard,Character Indexing and Counting,11,4.1601,512,123.08
avibe_ngram,ru_arena_hard,Rust Structs and Traits,12,4.4599,512,114.80
avibe_ngram,ru_arena_hard,Excel Column Addressing,13,4.1602,512,123.07
avibe_ngram,ru_arena_hard,Advanced TypeScript Concepts,14,4.9742,447,89.86
avibe_ngram,ru_arena_hard,"Concurrency, Sockets, and Webhooks",15,5.3336,512,95.99
avibe_ngram,ru_arena_hard,Hospital Design & Management,16,3.0601,293,95.75
avibe_ngram,ru_arena_hard,HLSL Shader Decompilation Refactoring,17,5.0635,512,101.12
avibe_ngram,ru_arena_hard,"PHP, CORS, and Server Requests",18,2.6341,273,103.64
avibe_ngram,ru_arena_hard,PHP CalDAV & SCIM Integration,19,5.5327,512,92.54
avibe_ngram,ru_arena_hard,Linux Kernel and Memory Mapping,20,5.7925,512,88.39
avibe_ngram,ru_arena_hard,Sales and Client Analysis,21,4.3351,512,118.11
avibe_ngram,ru_arena_hard,Python Data Structures,22,4.7835,501,104.73
avibe_ngram,ru_arena_hard,Endurance Race Training,23,4.5016,512,113.74
avibe_ngram,ru_arena_hard,Marketing Strategy Essentials,24,2.0282,512,252.44
avibe_ngram,ru_arena_hard,Time Calculations & Conversions,25,2.0507,512,249.67
avibe_ngram,ru_arena_hard,Number Substitution Patterns,26,3.2091,372,115.92
avibe_ngram,ru_arena_hard,Text Processing with Awk/Sed/Grep,27,1.4911,512,343.38
avibe_ngram,ru_arena_hard,Healthy Meal Planning,28,2.2954,512,223.05
avibe_ngram,ru_arena_hard,"Concurrency, Sockets, and Webhooks",29,4.4282,512,115.62
avibe_ngram,ru_arena_hard,Dockerizing Python Applications,30,3.1933,333,104.28
avibe_ngram,ru_arena_hard,Linux Package Management Issues,31,2.5795,274,106.22
avibe_ngram,ru_arena_hard,GPU Performance and Selection,32,5.0548,512,101.29
avibe_ngram,ru_arena_hard,Chatbot Development & Integration,33,5.2533,512,97.46
avibe_ngram,ru_arena_hard,Smart Home Automation Controls,34,4.6525,512,110.05
