config_name,dataset,category,prompt_idx,wall_s,out_tokens,tok_per_s
llama32_ngram,mt_bench,writing,3,1.0952,325,296.75
llama32_ngram,mt_bench,writing,4,0.8918,263,294.93
llama32_ngram,mt_bench,writing,5,0.9857,294,298.27
llama32_ngram,mt_bench,writing,6,1.6774,512,305.23
llama32_ngram,mt_bench,writing,7,0.7915,230,290.61
llama32_ngram,mt_bench,writing,8,0.8978,304,338.61
llama32_ngram,mt_bench,writing,9,0.5153,213,413.38
llama32_ngram,mt_bench,roleplay,10,1.6379,512,312.60
llama32_ngram,mt_bench,roleplay,11,0.5544,168,303.06
llama32_ngram,mt_bench,roleplay,12,1.6616,512,308.13
llama32_ngram,mt_bench,roleplay,13,0.6388,186,291.15
llama32_ngram,mt_bench,roleplay,14,0.6775,246,363.08
llama32_ngram,mt_bench,roleplay,15,1.4390,505,350.94
llama32_ngram,mt_bench,roleplay,16,1.5452,512,331.34
llama32_ngram,mt_bench,roleplay,17,0.5823,182,312.53
llama32_ngram,mt_bench,roleplay,18,0.3952,131,331.44
llama32_ngram,mt_bench,roleplay,19,1.7438,512,293.61
llama32_ngram,mt_bench,reasoning,20,0.3951,129,326.46
llama32_ngram,mt_bench,reasoning,21,0.5488,176,320.70
llama32_ngram,mt_bench,reasoning,22,1.5444,481,311.44
llama32_ngram,mt_bench,reasoning,23,0.4133,139,336.30
llama32_ngram,mt_bench,reasoning,24,0.3909,187,478.43
llama32_ngram,mt_bench,reasoning,25,0.3760,147,390.91
llama32_ngram,mt_bench,reasoning,26,0.3577,136,380.24
llama32_ngram,mt_bench,reasoning,27,0.3893,142,364.75
llama32_ngram,mt_bench,reasoning,28,0.3963,134,338.17
llama32_ngram,mt_bench,reasoning,29,0.5368,208,387.47
llama32_ngram,mt_bench,math,30,0.4933,184,372.99
llama32_ngram,mt_bench,math,31,0.3134,141,449.95
llama32_ngram,mt_bench,math,32,0.8891,368,413.90
llama32_ngram,mt_bench,math,33,0.4442,166,373.68
llama32_ngram,mt_bench,math,34,0.4660,172,369.10
llama32_ngram,mt_bench,math,35,0.8331,312,374.48
llama32_ngram,mt_bench,math,36,0.5793,199,343.53
llama32_ngram,mt_bench,math,37,0.3454,130,376.39
llama32_ngram,mt_bench,math,38,0.4126,133,322.38
llama32_ngram,mt_bench,math,39,0.3690,173,468.77
llama32_ngram,mt_bench,coding,40,1.5374,512,333.04
llama32_ngram,mt_bench,coding,41,1.2202,384,314.71
llama32_ngram,mt_bench,coding,42,1.4652,465,317.37
llama32_ngram,mt_bench,coding,43,1.2061,512,424.51
llama32_ngram,mt_bench,coding,44,1.4952,512,342.43
llama32_ngram,mt_bench,coding,45,1.3887,512,368.69
llama32_ngram,mt_bench,coding,46,1.4032,464,330.67
llama32_ngram,mt_bench,coding,47,1.4059,512,364.19
llama32_ngram,mt_bench,coding,48,1.3386,485,362.32
llama32_ngram,mt_bench,coding,49,1.1493,387,336.73
llama32_ngram,mt_bench,extraction,50,0.4848,253,521.83
llama32_ngram,mt_bench,extraction,51,0.7910,319,403.29
llama32_ngram,mt_bench,extraction,52,0.3493,142,406.54
llama32_ngram,mt_bench,extraction,53,0.3338,182,545.27
llama32_ngram,mt_bench,extraction,54,0.4817,175,363.27
llama32_ngram,mt_bench,extraction,55,0.3463,141,407.15
llama32_ngram,mt_bench,extraction,56,0.6439,295,458.11
llama32_ngram,mt_bench,extraction,57,0.5378,172,319.80
llama32_ngram,mt_bench,extraction,58,1.2273,443,360.96
llama32_ngram,mt_bench,extraction,59,1.2747,512,401.66
llama32_ngram,mt_bench,stem,60,1.4245,512,359.42
llama32_ngram,mt_bench,stem,61,0.8655,315,363.96
llama32_ngram,mt_bench,stem,62,1.0484,512,488.35
llama32_ngram,mt_bench,stem,63,1.2840,401,312.31
llama32_ngram,mt_bench,stem,64,1.1069,369,333.36
llama32_ngram,mt_bench,stem,65,1.2647,512,404.82
llama32_ngram,mt_bench,stem,66,1.5891,512,322.19
llama32_ngram,mt_bench,stem,67,1.4673,512,348.93
llama32_ngram,mt_bench,stem,68,1.5434,512,331.74
llama32_ngram,mt_bench,stem,69,1.3286,427,321.39
llama32_ngram,mt_bench,humanities,70,1.5395,512,332.57
llama32_ngram,mt_bench,humanities,71,1.4030,512,364.93
llama32_ngram,mt_bench,humanities,72,1.5088,512,339.34
llama32_ngram,mt_bench,humanities,73,1.4395,512,355.67
llama32_ngram,mt_bench,humanities,74,1.5131,512,338.37
llama32_ngram,mt_bench,humanities,75,1.5976,512,320.48
llama32_ngram,mt_bench,humanities,76,1.1789,459,389.33
llama32_ngram,mt_bench,humanities,77,1.2896,430,333.44
llama32_ngram,mt_bench,humanities,78,1.5724,512,325.62
llama32_ngram,mt_bench,humanities,79,1.3183,512,388.39
