config_name,dataset,category,prompt_idx,wall_s,out_tokens,tok_per_s
qwen_baseline,mt_bench,writing,3,5.3546,512,95.62
qwen_baseline,mt_bench,writing,4,5.3436,512,95.82
qwen_baseline,mt_bench,writing,5,5.3301,512,96.06
qwen_baseline,mt_bench,writing,6,5.3330,512,96.01
qwen_baseline,mt_bench,writing,7,5.3418,512,95.85
qwen_baseline,mt_bench,writing,8,5.3474,512,95.75
qwen_baseline,mt_bench,writing,9,5.3390,512,95.90
qwen_baseline,mt_bench,roleplay,10,5.3461,512,95.77
qwen_baseline,mt_bench,roleplay,11,5.3449,512,95.79
qwen_baseline,mt_bench,roleplay,12,5.3646,512,95.44
qwen_baseline,mt_bench,roleplay,13,5.3389,512,95.90
qwen_baseline,mt_bench,roleplay,14,5.3494,512,95.71
qwen_baseline,mt_bench,roleplay,15,5.3526,512,95.65
qwen_baseline,mt_bench,roleplay,16,5.3487,512,95.72
qwen_baseline,mt_bench,roleplay,17,5.3326,512,96.01
qwen_baseline,mt_bench,roleplay,18,5.3330,512,96.01
qwen_baseline,mt_bench,roleplay,19,5.3573,512,95.57
qwen_baseline,mt_bench,reasoning,20,5.3386,512,95.91
qwen_baseline,mt_bench,reasoning,21,5.3353,512,95.96
qwen_baseline,mt_bench,reasoning,22,5.3332,512,96.00
qwen_baseline,mt_bench,reasoning,23,5.3380,512,95.92
qwen_baseline,mt_bench,reasoning,24,5.3823,512,95.13
qwen_baseline,mt_bench,reasoning,25,5.3480,512,95.74
qwen_baseline,mt_bench,reasoning,26,5.3345,512,95.98
qwen_baseline,mt_bench,reasoning,27,5.3466,512,95.76
qwen_baseline,mt_bench,reasoning,28,5.3410,512,95.86
qwen_baseline,mt_bench,reasoning,29,5.3512,512,95.68
qwen_baseline,mt_bench,math,30,5.3486,512,95.73
qwen_baseline,mt_bench,math,31,5.3460,512,95.77
qwen_baseline,mt_bench,math,32,5.3436,512,95.81
qwen_baseline,mt_bench,math,33,5.3347,512,95.97
qwen_baseline,mt_bench,math,34,5.3428,512,95.83
qwen_baseline,mt_bench,math,35,5.3349,512,95.97
qwen_baseline,mt_bench,math,36,5.3335,512,96.00
qwen_baseline,mt_bench,math,37,5.3439,512,95.81
qwen_baseline,mt_bench,math,38,5.3406,512,95.87
qwen_baseline,mt_bench,math,39,5.3426,512,95.83
qwen_baseline,mt_bench,coding,40,5.3350,512,95.97
qwen_baseline,mt_bench,coding,41,5.3318,512,96.03
qwen_baseline,mt_bench,coding,42,5.3357,512,95.96
qwen_baseline,mt_bench,coding,43,5.3843,512,95.09
qwen_baseline,mt_bench,coding,44,5.3371,512,95.93
qwen_baseline,mt_bench,coding,45,5.3332,512,96.00
qwen_baseline,mt_bench,coding,46,5.3348,512,95.97
qwen_baseline,mt_bench,coding,47,5.3334,512,96.00
qwen_baseline,mt_bench,coding,48,5.3546,512,95.62
qwen_baseline,mt_bench,coding,49,5.3330,512,96.01
qwen_baseline,mt_bench,extraction,50,5.0569,484,95.71
qwen_baseline,mt_bench,extraction,51,5.3838,512,95.10
qwen_baseline,mt_bench,extraction,52,5.4205,512,94.46
qwen_baseline,mt_bench,extraction,53,5.3822,512,95.13
qwen_baseline,mt_bench,extraction,54,5.3537,512,95.63
qwen_baseline,mt_bench,extraction,55,5.3943,512,94.92
qwen_baseline,mt_bench,extraction,56,5.3533,512,95.64
qwen_baseline,mt_bench,extraction,57,5.4002,512,94.81
qwen_baseline,mt_bench,extraction,58,5.3692,512,95.36
qwen_baseline,mt_bench,extraction,59,5.4157,512,94.54
qwen_baseline,mt_bench,stem,60,5.3332,512,96.00
qwen_baseline,mt_bench,stem,61,5.3664,512,95.41
qwen_baseline,mt_bench,stem,62,5.3336,512,95.99
qwen_baseline,mt_bench,stem,63,5.3344,512,95.98
qwen_baseline,mt_bench,stem,64,5.3406,512,95.87
qwen_baseline,mt_bench,stem,65,5.3322,512,96.02
qwen_baseline,mt_bench,stem,66,5.3401,512,95.88
qwen_baseline,mt_bench,stem,67,5.3563,512,95.59
qwen_baseline,mt_bench,stem,68,5.3346,512,95.98
qwen_baseline,mt_bench,stem,69,5.3401,512,95.88
qwen_baseline,mt_bench,humanities,70,5.3426,512,95.83
qwen_baseline,mt_bench,humanities,71,5.3309,512,96.04
qwen_baseline,mt_bench,humanities,72,5.3351,512,95.97
qwen_baseline,mt_bench,humanities,73,5.3465,512,95.76
qwen_baseline,mt_bench,humanities,74,5.3328,512,96.01
qwen_baseline,mt_bench,humanities,75,5.3496,512,95.71
qwen_baseline,mt_bench,humanities,76,5.3351,512,95.97
qwen_baseline,mt_bench,humanities,77,5.3387,512,95.90
qwen_baseline,mt_bench,humanities,78,5.3314,512,96.03
qwen_baseline,mt_bench,humanities,79,5.3327,512,96.01
